GEOID,NAME,male,medage,pop,black,asian,pacific,latino,commute_hr1,commute_hr2,medrent,medincome
20010,ZCTA5 20010,17410,32.3,34713,8756,1613,0,10161,1559,263,1510,88463
20024,ZCTA5 20024,6159,36.2,13354,5675,615,37,808,325,180,1531,83145
20106,ZCTA5 20106,2764,48,5276,135,159,0,148,452,360,1024,82500
20112,ZCTA5 20112,13451,40.5,26902,3315,1652,34,3068,3189,1138,2282,149618
20120,ZCTA5 20120,20715,37.2,41733,2721,12025,137,5421,2215,955,1843,122165
20129,ZCTA5 20129,418,53.6,618,40,44,0,73,24,40,NA,250001
20136,ZCTA5 20136,15579,34.5,30635,4033,2958,28,4244,3312,1617,2276,138496
20143,ZCTA5 20143,538,36.3,1156,16,151,0,28,82,29,NA,122656
20148,ZCTA5 20148,23181,34.7,48110,3763,17065,11,3130,3721,1457,2038,171343
20151,ZCTA5 20151,11260,37.7,23053,1800,7351,0,5087,1314,556,1758,124258
20165,ZCTA5 20165,16594,38.8,32744,2390,4347,24,3405,1879,779,1873,143085
20170,ZCTA5 20170,21872,35.3,43116,3404,7213,0,13209,2006,606,1849,124859
20171,ZCTA5 20171,25110,36.2,50342,4720,17115,39,3912,2432,795,1891,141559
20190,ZCTA5 20190,9192,38.4,19204,1912,1786,0,2373,711,175,1842,106929
20198,ZCTA5 20198,997,48.8,2175,59,0,0,343,134,44,890,84792
20613,ZCTA5 20613,6873,43.7,13855,8766,303,47,955,1873,445,1580,119258
20628,ZCTA5 20628,166,43.3,279,0,0,0,0,0,24,NA,157778
20630,ZCTA5 20630,186,47.4,377,137,0,0,13,10,0,NA,101912
20632,ZCTA5 20632,188,41.1,381,0,0,0,51,19,25,NA,80446
20639,ZCTA5 20639,7826,40.4,15139,1433,622,38,641,1613,516,1886,133729
20675,ZCTA5 20675,1146,48.3,2161,430,47,0,48,149,56,2296,103306
20677,ZCTA5 20677,1342,44.1,2603,737,0,0,16,326,210,1115,123235
20693,ZCTA5 20693,480,45.8,947,56,0,0,8,121,100,1706,149583
20708,ZCTA5 20708,13447,34.2,27089,16537,1569,0,4192,1475,576,1429,74413
20710,ZCTA5 20710,4395,33.9,9794,6517,292,0,2589,753,245,1310,43741
20746,ZCTA5 20746,12174,36,27241,22622,610,0,1890,1731,656,1397,67027
20783,ZCTA5 20783,24901,31.6,45559,11364,2043,18,29419,3632,1323,1363,63465
20839,ZCTA5 20839,60,5.9,100,0,0,0,0,17,0,NA,NA
20841,ZCTA5 20841,5455,40.2,10481,1774,4263,0,608,825,442,2514,170682
20879,ZCTA5 20879,13153,34.6,27871,6841,4187,21,8007,2306,708,1704,91393
20904,ZCTA5 20904,26306,40.7,57035,26246,8321,17,8365,4411,1252,1714,85504
20759,ZCTA5 20759,2261,42.7,5011,847,604,0,232,316,95,3501,176023
20762,ZCTA5 20762,1556,23.3,2964,746,64,0,540,62,18,2450,76688
